DATE,DEXUSEU
2007-12-31,1.4603
2008-01-01,.
2008-01-02,1.4738
2008-01-03,1.4736
2008-01-04,1.4786
2008-01-07,1.4684
2008-01-08,1.4717
2008-01-09,1.4663
2008-01-10,1.4740
2008-01-11,1.4787
2008-01-14,1.4877
2008-01-15,1.4842
2008-01-16,1.4643
2008-01-17,1.4690
2008-01-18,1.4616
2008-01-21,.
2008-01-22,1.4609
2008-01-23,1.4574
2008-01-24,1.4737
2008-01-25,1.4673
2008-01-28,1.4789
2008-01-29,1.4767
2008-01-30,1.4782
2008-01-31,1.4841
2008-02-01,1.4851
2008-02-04,1.4832
2008-02-05,1.4638
2008-02-06,1.4647
2008-02-07,1.4495
2008-02-08,1.4505
2008-02-11,1.4506
2008-02-12,1.4592
2008-02-13,1.4569
2008-02-14,1.4635
2008-02-15,1.4674
2008-02-18,.
2008-02-19,1.4742
2008-02-20,1.4663
2008-02-21,1.4813
2008-02-22,1.4825
2008-02-25,1.4822
2008-02-26,1.4889
2008-02-27,1.5132
2008-02-28,1.5172
2008-02-29,1.5187
2008-03-03,1.5195
2008-03-04,1.5210
2008-03-05,1.5282
2008-03-06,1.5356
2008-03-07,1.5333
2008-03-10,1.5369
2008-03-11,1.5329
2008-03-12,1.5495
2008-03-13,1.5584
2008-03-14,1.5604
2008-03-17,1.5765
2008-03-18,1.5784
2008-03-19,1.5642
2008-03-20,1.5417
2008-03-21,1.5447
2008-03-24,1.5394
2008-03-25,1.5595
2008-03-26,1.5761
2008-03-27,1.5798
2008-03-28,1.5759
2008-03-31,1.5805
2008-04-01,1.5615
2008-04-02,1.5618
2008-04-03,1.5667
2008-04-04,1.5735
2008-04-07,1.5713
2008-04-08,1.5705
2008-04-09,1.5804
2008-04-10,1.5744
2008-04-11,1.5796
2008-04-14,1.5827
2008-04-15,1.5801
2008-04-16,1.5978
2008-04-17,1.5924
2008-04-18,1.5742
2008-04-21,1.5881
2008-04-22,1.6010
2008-04-23,1.5898
2008-04-24,1.5668
2008-04-25,1.5634
2008-04-28,1.5648
2008-04-29,1.5604
2008-04-30,1.5568
2008-05-01,1.5458
2008-05-02,1.5431
2008-05-05,1.5491
2008-05-06,1.5548
2008-05-07,1.5370
2008-05-08,1.5409
2008-05-09,1.5447
2008-05-12,1.5536
2008-05-13,1.5509
2008-05-14,1.5467
2008-05-15,1.5492
2008-05-16,1.5591
