"TIME","CURRENCY","S_ADJ","INDIC","Value","Flag and Footnotes"
"2011M10","US dollar","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Exchange rates against the ECU/euro (average)","1.3706",""
"2011M11","US dollar","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Exchange rates against the ECU/euro (average)","1.3556",""
"2011M12","US dollar","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Exchange rates against the ECU/euro (average)","1.3179",""
"2012M01","US dollar","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Exchange rates against the ECU/euro (average)","1.2905",""
"2012M02","US dollar","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Exchange rates against the ECU/euro (average)","1.3224",""
"2012M03","US dollar","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Exchange rates against the ECU/euro (average)","1.3201",""
"2012M04","US dollar","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Exchange rates against the ECU/euro (average)","1.3162",""
"2012M05","US dollar","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Exchange rates against the ECU/euro (average)","1.2789",""
"2012M06","US dollar","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Exchange rates against the ECU/euro (average)","1.2526",""
"2012M07","US dollar","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Exchange rates against the ECU/euro (average)","1.2288",""
"2012M08","US dollar","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Exchange rates against the ECU/euro (average)","1.2400",""
"2012M09","US dollar","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Exchange rates against the ECU/euro (average)","1.2856",""
"2012M10","US dollar","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Exchange rates against the ECU/euro (average)","1.2974",""
"2012M11","US dollar","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Exchange rates against the ECU/euro (average)","1.2828",""
"2012M12","US dollar","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Exchange rates against the ECU/euro (average)","1.3119",""
"2013M01","US dollar","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Exchange rates against the ECU/euro (average)","1.3288",""
"2013M02","US dollar","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Exchange rates against the ECU/euro (average)","1.3359",""
"2013M03","US dollar","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Exchange rates against the ECU/euro (average)","1.2964",""
"2013M04","US dollar","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Exchange rates against the ECU/euro (average)","1.3026",""
"2013M05","US dollar","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Exchange rates against the ECU/euro (average)","1.2982",""
"2013M06","US dollar","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Exchange rates against the ECU/euro (average)","1.3189",""
"2013M07","US dollar","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Exchange rates against the ECU/euro (average)","1.3080",""
"2013M08","US dollar","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Exchange rates against the ECU/euro (average)","1.3310",""
"2013M09","US dollar","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Exchange rates against the ECU/euro (average)","1.3348",""
"2013M10","US dollar","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Exchange rates against the ECU/euro (average)","1.3635",""
"2013M11","US dollar","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Exchange rates against the ECU/euro (average)","1.3493",""
"2013M12","US dollar","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Exchange rates against the ECU/euro (average)","1.3704",""
