"TIME,""GEO"",""S_ADJ"",""AGE"",""UNIT"",""SEX"",""Value"""
"2008M01,""European Union (current composition)"",""Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)"",""Total"",""Thousand persons"",""Total"",""16,991"""
"2008M01,""European Union (current composition)"",""Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)"",""Total"",""Percentage of active population"",""Total"",""7.2"""
"2008M01,""European Union (current composition)"",""Seasonally adjusted data, not calendar adjusted data"",""Total"",""Thousand persons"",""Total"",""16,342"""
"2008M01,""European Union (current composition)"",""Seasonally adjusted data, not calendar adjusted data"",""Total"",""Percentage of active population"",""Total"",""6.9"""
"2008M02,""European Union (current composition)"",""Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)"",""Total"",""Thousand persons"",""Total"",""16,906"""
"2008M02,""European Union (current composition)"",""Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)"",""Total"",""Percentage of active population"",""Total"",""7.2"""
"2008M02,""European Union (current composition)"",""Seasonally adjusted data, not calendar adjusted data"",""Total"",""Thousand persons"",""Total"",""16,230"""
"2008M02,""European Union (current composition)"",""Seasonally adjusted data, not calendar adjusted data"",""Total"",""Percentage of active population"",""Total"",""6.8"""
"2008M03,""European Union (current composition)"",""Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)"",""Total"",""Thousand persons"",""Total"",""16,598"""
"2008M03,""European Union (current composition)"",""Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)"",""Total"",""Percentage of active population"",""Total"",""7.0"""
"2008M03,""European Union (current composition)"",""Seasonally adjusted data, not calendar adjusted data"",""Total"",""Thousand persons"",""Total"",""16,151"""
"2008M03,""European Union (current composition)"",""Seasonally adjusted data, not calendar adjusted data"",""Total"",""Percentage of active population"",""Total"",""6.8"""
"2008M04,""European Union (current composition)"",""Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)"",""Total"",""Thousand persons"",""Total"",""16,394"""
"2008M04,""European Union (current composition)"",""Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)"",""Total"",""Percentage of active population"",""Total"",""6.9"""
"2008M04,""European Union (current composition)"",""Seasonally adjusted data, not calendar adjusted data"",""Total"",""Thousand persons"",""Total"",""16,249"""
"2008M04,""European Union (current composition)"",""Seasonally adjusted data, not calendar adjusted data"",""Total"",""Percentage of active population"",""Total"",""6.8"""
"2008M05,""European Union (current composition)"",""Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)"",""Total"",""Thousand persons"",""Total"",""16,052"""
"2008M05,""European Union (current composition)"",""Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)"",""Total"",""Percentage of active population"",""Total"",""6.7"""
"2008M05,""European Union (current composition)"",""Seasonally adjusted data, not calendar adjusted data"",""Total"",""Thousand persons"",""Total"",""16,333"""
"2008M05,""European Union (current composition)"",""Seasonally adjusted data, not calendar adjusted data"",""Total"",""Percentage of active population"",""Total"",""6.9"""
"2008M06,""European Union (current composition)"",""Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)"",""Total"",""Thousand persons"",""Total"",""16,431"""
"2008M06,""European Union (current composition)"",""Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)"",""Total"",""Percentage of active population"",""Total"",""6.9"""
"2008M06,""European Union (current composition)"",""Seasonally adjusted data, not calendar adjusted data"",""Total"",""Thousand persons"",""Total"",""16,550"""
"2008M06,""European Union (current composition)"",""Seasonally adjusted data, not calendar adjusted data"",""Total"",""Percentage of active population"",""Total"",""7.0"""
"2008M07,""European Union (current composition)"",""Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)"",""Total"",""Thousand persons"",""Total"",""16,144"""
"2008M07,""European Union (current composition)"",""Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)"",""Total"",""Percentage of active population"",""Total"",""6.7"""
"2008M07,""European Union (current composition)"",""Seasonally adjusted data, not calendar adjusted data"",""Total"",""Thousand persons"",""Total"",""16,562"""
"2008M07,""European Union (current composition)"",""Seasonally adjusted data, not calendar adjusted data"",""Total"",""Percentage of active population"",""Total"",""7.0"""
"2008M08,""European Union (current composition)"",""Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)"",""Total"",""Thousand persons"",""Total"",""16,286"""
"2008M08,""European Union (current composition)"",""Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)"",""Total"",""Percentage of active population"",""Total"",""6.8"""
"2008M08,""European Union (current composition)"",""Seasonally adjusted data, not calendar adjusted data"",""Total"",""Thousand persons"",""Total"",""16,741"""
